Date,Delayed,% Delayed,Average,Scheduled,Arrivals,Delayed,% Delayed,Average
1/1,"3,703",18.45,39.51,"19,160","19,969","3,631",18.18,41.54
1/2,"5,163",21.43,39.69,"21,313","23,598","5,191",22,42.02
1/3,"4,503",19.17,38.95,"20,579","23,544","4,328",18.38,40.45
1/4,"3,447",14.83,38.35,"20,661","23,126","3,007",13,40.28
1/5,"3,541",17.77,43.05,"18,215","19,988","3,376",16.89,46.96
1/6,"4,085",18.63,45.12,"20,460","21,797","3,993",18.32,50.14
1/7,"3,121",13.71,41.4,"20,890","22,860","3,412",14.93,43.84
1/8,"2,851",12.72,42,"19,726","22,483","2,918",12.98,43.47
1/9,"2,783",12.14,42.28,"20,112","22,747","2,770",12.18,42.27
1/10,"3,322",14.06,46.2,"20,799","23,498","3,372",14.35,51.5
1/11,"3,306",14.18,40.24,"20,954","23,196","3,493",15.06,42.54
1/12,"2,519",14.17,42.26,"16,626","17,871","2,678",14.99,46.77
1/13,"2,927",14.39,45.72,"19,451","20,121","3,076",15.29,54.09
1/14,"3,023",13.59,44.74,"20,722","22,241","3,255",14.64,46.22
1/15,"3,183",14.41,41.59,"19,521","22,132","3,574",16.15,43.77
1/16,"3,089",13.61,46.93,"19,932","22,586","3,401",15.06,48.23
1/17,"4,011",16.87,42.69,"20,738","23,606","4,500",19.06,44.2
1/18,"4,436",18.91,42.16,"20,852","23,377","4,697",20.09,46.18
1/19,"3,047",18.73,48.08,"16,258","16,412","3,231",19.69,52.54
1/20,"3,384",18.74,44.11,"17,883","17,840","3,600",20.18,49.65
1/21,"4,944",22.7,53.28,"20,327","21,735","5,274",24.27,58.74
1/22,"4,370",20.48,53.1,"19,521","21,458","4,674",21.78,59.94
1/23,"5,027",22.34,50.81,"19,924","22,266","5,607",25.18,55.44
1/24,"5,561",23.81,48.33,"20,731","23,220","6,206",26.73,52.66
1/25,"4,499",19.24,44.71,"20,862","23,273","4,697",20.18,46.97
1/26,"2,444",13.55,41.05,"16,555","18,155","2,532",13.95,44.86
1/27,"3,355",16.02,39.33,"19,432","20,721","3,819",18.43,43.56
