TFMSC Report (Airport),,,,,,,,
,,,,,,,,
"From 01/2019 To 12/2019 | Airport=ABQ, ANC, ATL, AUS, BDL, BHM, BNA, BOS, BUF, BUR, BWI, CLE, CLT, CVG, DAL, DAY, DCA, DEN, DFW, DTW, EWR, FLL, GYY, HNL, HOU, HPN, IAD, IAH, IND, ISP, JAX, JFK, LAS, LAX, LGA, LGB, MCI, MCO, MDW, MEM, MHT, MIA, MKE, MSP, MSY, OAK, OGG, OMA, ONT, ORD, OXR, PBI, PDX, PHL, PHX, PIT, PSP, PVD, RDU, RFD, RSW, SAN, SAT, SDF, SEA, SFO, SJC, SJU, SLC, SMF, SNA, STL, SWF, TEB, TPA, TUS, VNY, ABE, ABI, ABR, ABY, ACT, ACV, ACY, AEX, AGS, ALB, ALO, AMA, APN, ATW, AVL, AVP, AZO, BFL, BIL, BIS, BJI, BMI, BPT, BQK, BRO, BTM, BTR, BTV, BZN, CAE, CAK, CEC, CHA, CHO, CHS, CID, CLL, CMH, CMI, COS, CPR, CRP, CRW, CSG, CWA, DBQ, DHN, DLH, DRO, DSM, EKO, ELM, ELP, ERI, ESC, EUG, EVV, EYW, FAI, FAR, FAT, FAY, FLG, FNT, FSD, FSM, FWA, GEG, GFK, GGG, GJT, GNV, GPT, GRB, GRK, GRR, GSO, GSP, GTF, HLN, HSV, ICT, IDA, ILM, ITO, JAC, JAN, JNU, KTN, LAN, LAW, LBB, LCH, LEX, LFT, LIT, LNK, LRD, LSE, MAF, MBS, MDT, MFR, MGM, MKG, MLU, MOB, MOT, MQT, MSN, MSO, MTJ, MYR, OAJ, OKC, PIA, PIH, PNS, PWM, RAP, RDD, RDM, RIC, RKS, RNO, ROA, ROC, ROW, RST, SAV, SBA, SBN, SBP, SGF, SGU, SHV, SJT, SPI, SPS, SYR, TLH, TOL, TUL, TVC, TWF, TYR, TYS, VEL, VLD, XNA, YUM, SAF, BLI, GTR | User Class=Air Carrier",,,,,,,,
#,Airport,Departures,Arrivals,Total,Departure,Average,Arrival,Average
,,,,Operations,Seats,Departure,Seats,Arrival
,,,,,,Seats,,Seats
1,ABE - Allentown,7598 ,7599 ,15197 ,380206 ,50 ,379484 ,49 
2,ABI - Abilene,3988 ,4163 ,8151 ,117914 ,29 ,117793 ,28 
3,ABQ - Albuquerque,26327 ,26288 ,52615 ,3004772 ,114 ,3004829 ,114 
4,ABR - Aberdeen,1630 ,1626 ,3256 ,44571 ,27 ,44598 ,27 
5,ABY - Albany,1496 ,1498 ,2994 ,52529 ,35 ,52668 ,35 
6,ACT - Waco,2193 ,2204 ,4397 ,84888 ,38 ,85695 ,38 
7,ACV - Arcata/Eureka,2865 ,3461 ,6326 ,109927 ,38 ,117266 ,33 
8,ACY - Atlantic City,5640 ,5629 ,11269 ,606572 ,107 ,606374 ,107 
9,AEX - Alexandria,3437 ,3439 ,6876 ,271467 ,78 ,268883 ,78 
10,AGS - Augusta,2995 ,2975 ,5970 ,196604 ,65 ,195880 ,65 
11,ALB - Albany,16179 ,16182 ,32361 ,1552995 ,95 ,1554814 ,96 
12,ALO - Waterloo,810 ,817 ,1627 ,37254 ,45 ,37584 ,46 
13,AMA - Amarillo,4537 ,4544 ,9081 ,372430 ,82 ,372999 ,82 
14,ANC - Anchorage,69032 ,68419 ,137451 ,8421825 ,121 ,8366758 ,122 
15,APN - Alpena,1289 ,1299 ,2588 ,31777 ,24 ,31879 ,24 
16,ATL - Atlanta,397793 ,397894 ,795687 ,60310630 ,151 ,60342642 ,151 
17,ATW - Appleton,4574 ,4594 ,9168 ,315694 ,69 ,317327 ,69 
18,AUS - Austin,73433 ,73076 ,146509 ,9803447 ,133 ,9807255 ,134 
19,AVL - Asheville,7540 ,7545 ,15085 ,644536 ,85 ,645474 ,85 
20,AVP - Wilkes-Barre/Scranton,4249 ,4243 ,8492 ,203159 ,47 ,203319 ,47 
21,AZO - Kalamazoo,3166 ,3138 ,6304 ,163810 ,51 ,163434 ,52 
22,BDL - Windsor Locks,29973 ,29987 ,59960 ,3735062 ,124 ,3734008 ,124 
